,pitch control
0,-0.6003900356130846
1,0.8237376846687416
2,-0.8436152265634485
3,0.5738742423792902
4,-1.5904203659958331
5,-1.4572507910327583
6,-1.22044709026523
7,-0.5510144840248611
8,0.755045410877755
9,1.0059889740697725
10,0.779374857559393
11,1.2735110482948402
12,-1.392256883228685
13,0.04046295977305081
14,-1.286043590348282
15,-1.2796664723834223
16,0.6503780449522296
17,0.2522136574730426
18,-1.7812126696675894
19,-0.4229527673692117
20,-0.7225062061205634
21,-0.9510356804327738
22,-1.7280232697208338
23,-1.3290855447851058
24,-0.7472971278197819
25,0.4844054203558335
26,1.8860659904407884
27,-0.7698268873914399
28,-0.615720340633825
29,0.054758937960320164
30,-0.7427928383746056
31,0.5776843247288289
32,-0.04693158174039414
33,-3.9385072704221464
34,-3.1220797796960826
35,-3.41348079866729
36,-0.764143357321879
37,-2.3781012336266203
38,-1.584492001095563
39,0.127293856133808
40,-0.09871377366757111
41,1.2194403391402262
42,-0.7561121005573385
43,0.39122784629112234
44,-0.5432476679516227
45,0.361702987953618
46,-2.328712098956541
47,-0.3118009451804418
48,1.0603629840212776
49,0.12237996949126481
50,-0.4358425393168446
51,-0.9189035973852058
52,0.05298742141746665
53,0.4790571897535389
54,-0.8714181572499923
55,-1.5518664014356964
56,-0.16057222354817213
57,-0.5725363283152737
58,0.7684187213305084
59,0.48402614464116667
60,-0.1207565148353654
61,1.500781856275832
62,-0.021026181782020537
63,0.46662651590065607
64,0.06576837709532735
65,-0.5513261957057952
66,-0.4377292439367424
67,1.3495378476546798
68,-0.24358046649714504
69,-0.28968263064965816
70,-0.44319474763002553
71,1.8270102687037992
72,0.635378359296024
73,1.5527460173676242
74,-1.047718100184463
75,0.6018856131375188
76,-0.44580924402156463
77,-0.185427878943759
78,0.533916699005159
79,1.9058380674352369
80,0.38190174215481665
81,-1.5353916137515746
82,-1.2960454472736163
83,0.23469890517120673
84,1.280678262564384
85,0.1957058522054288
86,0.04352225525297082
87,-0.4195234456021685
88,-0.19933206732482103
89,-0.7470550761735228
90,-0.5983656554837243
91,1.9497828760429594
92,0.06987403258961761
93,0.7853634523104429
94,-0.1387741484057021
95,-0.7919714606456526
96,2.202395665449429
97,-0.09684785989981046
98,-0.09684785989981046
99,-0.31430697156267967
100,-1.2326155257549472
101,1.0808505910526556
102,-1.6232686868922284
103,-1.7460454814636386
104,-0.9224525876578472
105,0.9943326890645384
106,0.18320862664330684
107,-0.4322755794911963
108,-2.4908985859206316
109,0.5353188709740593
110,-0.04131219105939277
111,0.5164014153270249
112,0.24044481091445138
113,-0.23892328524748252
114,1.0857030425395182
115,-1.0613271140197706
116,-0.9523336063901344
117,0.8739977985426038
118,-0.1535856835949476
119,1.6265535219045113
120,0.6681634438358875
121,0.2950982760253994
122,0.1286210323902175
123,-0.17758357498289618
124,-2.0970687098732963
